Date,Open,High,Low,Close,Volume
2016-04-06,2045.56,2067.33,2043.09,2066.66,581198920
2016-04-07,2063.01,2063.01,2033.8,2041.91,618277738
2016-04-08,2045.54,2060.63,2041.69,2047.6,534860062
2016-04-11,2050.23,2062.93,2041.88,2041.99,586554903
2016-04-12,2043.72,2065.05,2039.74,2061.72,590857575
2016-04-13,2065.92,2083.18,2065.92,2082.42,630914475
2016-04-14,2082.89,2087.84,2078.13,2082.78,563108643
2016-04-15,2083.1,2083.22,2076.31,2080.73,693554004
2016-04-18,2078.83,2094.66,2073.65,2094.34,547244884
2016-04-19,2096.05,2104.05,2091.68,2100.8,590323888
2016-04-20,2101.52,2111.05,2096.32,2102.4,604654546
2016-04-21,2102.09,2103.78,2088.52,2091.48,651246160
2016-04-22,2091.49,2094.32,2081.2,2091.58,705983995
2016-04-25,2089.37,2089.37,2077.52,2087.79,544779102
2016-04-26,2089.84,2096.87,2085.8,2091.7,598555074
2016-04-27,2092.33,2099.89,2082.31,2095.15,672757652
2016-04-28,2090.93,2099.3,2071.62,2075.81,689220607
2016-04-29,2071.82,2073.85,2052.28,2065.3,887327440
2016-05-02,2067.17,2083.42,2066.11,2081.43,604121364
2016-05-03,2077.18,2077.18,2054.89,2063.37,635557393
2016-05-04,2060.3,2060.3,2045.55,2051.12,626804080
2016-05-05,2052.95,2060.23,2045.77,2050.63,596257671
2016-05-06,2047.77,2057.72,2039.45,2057.14,588441649
2016-05-09,2057.55,2064.15,2054.31,2058.69,557448620
2016-05-10,2062.63,2084.87,2062.63,2084.39,520435759
2016-05-11,2083.29,2083.29,2064.46,2064.46,580139895
2016-05-12,2067.17,2073.99,2053.13,2064.11,588564913
2016-05-13,2062.5,2066.79,2043.13,2046.61,567482287
2016-05-16,2046.53,2071.88,2046.53,2066.66,567330467
2016-05-17,2065.04,2065.69,2040.82,2047.21,686681048
2016-05-18,2044.38,2060.61,2034.49,2047.63,558156815
2016-05-19,2044.21,2044.21,2025.91,2040.04,589913028
2016-05-20,2041.88,2058.35,2041.88,2052.32,697842193
2016-05-23,2052.23,2055.58,2047.26,2048.04,524841588
2016-05-24,2052.65,2079.67,2052.65,2076.06,557588563
2016-05-25,2078.93,2094.73,2078.93,2090.54,561669919
2016-05-26,2091.44,2094.3,2087.08,2090.1,474138505
2016-05-27,2090.06,2099.06,2090.06,2099.06,508493212
2016-05-31,2100.13,2103.48,2088.66,2096.96,904459880
2016-06-01,2093.94,2100.97,2085.1,2099.33,556851611
2016-06-02,2097.71,2105.26,2088.59,2105.26,628062808
2016-06-03,2104.07,2104.07,2085.36,2099.13,568033907
2016-06-06,2100.83,2113.36,2100.83,2109.41,532939655
2016-06-07,2110.18,2119.22,2110.18,2112.13,536131780
2016-06-08,2112.71,2120.55,2112.71,2119.12,496867839
2016-06-09,2115.65,2117.64,2107.73,2115.48,482637627
2016-06-10,2109.57,2109.57,2089.96,2096.07,552199108
2016-06-13,2091.75,2098.12,2078.46,2079.06,564040789
2016-06-14,2076.65,2081.3,2064.1,2075.32,576788895
2016-06-15,2077.6,2085.65,2069.8,2071.5,575938354
2016-06-16,2066.36,2079.62,2050.37,2077.99,552019076
2016-06-17,2078.2,2078.2,2062.84,2071.22,227609273
2016-06-20,2075.58,2100.66,2075.58,2083.25,598150842
2016-06-21,2085.19,2093.66,2083.02,2088.9,537088649
2016-06-22,2089.75,2099.71,2084.36,2085.45,519438852
2016-06-23,2092.8,2113.32,2092.8,2113.32,525308203
2016-06-24,2103.81,2103.81,2032.57,2037.41,330155996
2016-06-27,2031.45,2031.45,1991.68,2000.54,882683687
2016-06-28,2006.67,2036.09,2006.67,2036.09,718967504
2016-06-29,2042.69,2073.13,2042.69,2070.77,691858050
2016-06-30,2073.17,2098.94,2070,2098.86,892556858
2016-07-01,2099.34,2108.71,2097.9,2102.95,551736343
2016-07-05,2095.05,2095.05,2080.86,2088.55,650706103
2016-07-06,2084.43,2100.72,2074.02,2099.73,649649070
2016-07-07,2100.42,2109.08,2089.39,2097.9,546432231
2016-07-08,2106.97,2131.71,2106.97,2129.9,597242128
2016-07-11,2131.72,2143.16,2131.72,2137.16,514370297
2016-07-12,2139.5,2155.4,2139.5,2152.14,599252738
2016-07-13,2153.81,2156.45,2146.21,2152.43,514541411
2016-07-14,2157.88,2168.99,2157.88,2163.75,530310298
