,dates,headline,section_name,abstract,Date_format,Tag
0,2016-05-11T09:00:27+0000,Impeachment of Dilma Rousseff Is Debated by Brazil’s Senate After Months of Chaos,World,"The debate that began on Wednesday, to be followed by a vote as late as Thursday morning, is a watershed in the power struggle consuming the country.",5/11/2016,
1,2015-09-21T00:53:55+0000,Mediators in Burkino Faso Issue Proposals to End Strife ,World,"Hours after they were interrupted by supporters of the military, the mediators presented proposals to resolve the political crisis created by last week’s coup.",9/21/2015,
2,2015-10-07T13:22:45+0000,Burkina Faso Charges General Who Led Failed Coup,World,"Gen. Gilbert Diendéré stands accused of high treason, murder, “attacking the security of the state,” among other charges, officials said.",10/7/2015,
3,2015-09-17T00:24:40+0000,"Guards Seize Interim Leaders of Burkina Faso, and Gunfire Is Heard",World,"Guards held the president, prime minister and two Cabinet members hostage, less than a year since the last abrupt power grab in the African country.",9/17/2015,
4,2016-03-29T20:37:43+0000,Dilma Rousseff Loses Support From Key Part of Brazilian Coalition,World,"The Brazilian Democratic Movement Party’s leaders voted to split from the president’s party, a move that could increase the likelihood of her being impeached.",3/29/2016,
5,2016-05-09T16:31:09+0000,Brazil Reels Again as Impeachment Vote Is Declared Invalid,World,Politicians scrambled to determine how the decision by the new speaker of Brazil’s lower house of Congress might affect President Dilma Rousseff’s fate.,5/9/2016,
6,2015-09-22T11:18:52+0000,African Leaders Call for Reinstatement of President of Burkina Faso,World,"The army said it would move to disarm an elite regiment, loyal to the former president, that toppled the government last week.",9/22/2015,
7,2016-09-19T17:37:21+0000,"Obama, in Farewell to U.N., Paints Stark Choices for Unsettled World",World,"In the last General Assembly address of his presidency, Mr. Obama was focused as much on the American presidential election as on his legacy.",9/19/2016,
8,2015-09-18T14:01:03+0000,Burkina Faso Military Says Ousted Leaders Have Been Released,World,The president and interim prime minister have been released from detention after a coup put Gen. Gilbert Diendéré in charge.,9/18/2015,
9,2017-05-02T19:20:11+0000,Brazil Yellow Fever Outbreak Spawns Alert: Stop Killing the Monkeys,World,"Authorities are urging worried residents to stop killing monkeys, which experts say can serve as beacons for where the virus is spreading.",5/2/2017,
0,2016-08-08T00:22:53+0000,"Security Force of 85,000 Fills Rio, Unsettling Rights Activists",World,"Incidents, including a mugging of a security chief and an assault on a Portuguese official, are piling up, while the show of force has raised concerns about overly aggressive policing.",8/8/2016,
1,2016-04-18T16:00:41+0000,Earthquake Leaves a Trail of Destruction in Ecuador,World,"Rescuers are still digging through the rubble from Saturday’s magnitude 7.8 quake, the strongest to strike Ecuador in decades.",4/18/2016,
2,2016-05-11T16:44:29+0000,Dilma Rousseff Braces for Brazilian Senate’s Impeachment Vote,World,Aides to Ms. Rousseff described the atmosphere in the halls of her palaces as a mixture of grim resignation with a dash of gallows humor.,5/11/2016,
3,2016-04-22T00:09:55+0000,"Brazil’s Vice President, Unpopular and Under Scrutiny, Prepares to Lead",World,"Vice President Michel Temer, himself linked to a graft scandal, says he is not conspiring to take over as President Dilma Rousseff faces a possible trial.",4/22/2016,
4,2016-02-12T08:00:22+0000,Francis’s Visit to Mexico Comes as Country Struggles With Many Ills,World,"The government is hoping for a credibility boost from the pope’s visit, but his itinerary also poses a risk by highlighting some of the state’s most obvious failings.",2/12/2016,
5,2016-10-08T18:52:05+0000,Colombian Opposition to Peace Deal Feeds Off Gay Rights Backlash,World,Critics of the accord tapped into a resurgent conservative movement to build opposition to the an agreement with the nation’s largest rebel group.,10/8/2016,
