Date,SP500_Close,XLY_Close,XLP_Close,XLE_Close,XLF_Close,XLV_Close,XLI_Close,XLB_Close,XLK_Close,XLU_Close,sp500_CHANGE,SP_rank
10/27/2016,2133.04,78.22,52.45,69.56,19.86,69.28,56.76,46.61,47.49,48.31,-0.30%,134
10/28/2016,2126.41,78.04,52.67,69.37,19.77,67.78,57.1,46.73,47.44,48.46,-0.31%,131
10/31/2016,2126.15,78.1,52.8,68.62,19.74,67.36,57.21,46.75,47.42,49.43,-0.01%,281
11/1/2016,2111.72,77.55,52.57,68.63,19.66,67,56.72,46.48,47.01,48.53,-0.68%,76
11/2/2016,2097.94,77.08,52.44,67.87,19.53,66.65,56.51,46.23,46.71,47.92,-0.65%,81
11/3/2016,2088.66,76.88,52.08,68.14,19.55,66.02,56.42,46.24,46.26,48.1,-0.44%,108
11/4/2016,2085.18,76.73,51.61,67.77,19.49,66.48,56.47,46.4,46.18,47.95,-0.17%,190
11/7/2016,2131.52,78.5,52.48,69.23,19.98,68.18,57.86,47.11,47.18,48.79,2.22%,600
11/8/2016,2139.56,78.82,52.7,69.32,19.99,68.37,58.21,47.26,47.41,49.17,0.38%,446
11/9/2016,2163.26,78.98,51.98,70.45,20.84,70.78,59.67,48.26,47.35,47.36,1.11%,560
11/10/2016,2167.48,79.27,50.59,70.75,21.61,71.56,60.94,48.82,46.59,46.22,0.20%,394
11/11/2016,2164.45,79.72,50.54,69.46,21.67,70.49,61.05,48.15,46.73,46.03,-0.14%,202
11/14/2016,2164.2,79.73,50.45,69.85,22.2,70.27,61.31,48.26,46.02,46,-0.01%,281
11/15/2016,2180.39,80.04,50.76,71.82,22.18,70.47,61.54,48.46,46.67,46.74,0.75%,522
11/16/2016,2176.94,80.48,50.77,71.32,21.86,70.17,61.19,48.37,47.1,46.42,-0.16%,195
11/17/2016,2187.12,81.45,50.68,70.84,22.16,70.45,61.32,48.39,47.4,46.43,0.47%,471
11/18/2016,2181.9,81.2,50.5,71.13,22.16,69.7,61.3,48.32,47.36,46.29,-0.24%,157
11/21/2016,2198.18,81.73,50.84,72.82,22.24,69.95,61.63,48.89,47.84,46.78,0.75%,522
11/22/2016,2202.94,82.7,51.1,72.78,22.25,68.94,61.91,49.19,47.99,46.96,0.22%,403
11/23/2016,2204.72,82.78,50.82,73.08,22.38,69.21,62.37,49.41,47.8,46.49,0.08%,335
11/25/2016,2213.35,82.98,51.22,72.72,22.41,69.48,62.71,49.56,48,47.16,0.39%,448
11/28/2016,2201.72,82.32,51.33,71.71,22.15,68.96,62.28,49.36,48.04,48.07,-0.53%,95
