Disease,Date,V_Close,V_Volume,Index_H/L,Bu/Be,Volatility,Signal
ZIKA,2016-09-09,H,L,3,-1.6474266023077444,-4.942279806923233,N
ZIKA,2016-09-12,L,L,1,0.051646987849851556,0.051646987849851556,N
ZIKA,2016-09-13,H,H,4,-1.1357718455865862,-4.543087382346345,N
ZIKA,2016-09-14,L,H,2,0.14919581911534419,0.29839163823068837,N
ZIKA,2016-09-15,L,H,2,-0.43203128491620113,-0.8640625698324023,N
ZIKA,2016-09-16,H,L,3,0.8079614095602761,2.423884228680828,N
ZIKA,2016-09-19,L,L,1,-0.32653209647495185,-0.32653209647495185,N
ZIKA,2016-09-20,L,L,1,0.3499374633301633,0.3499374633301633,N
ZIKA,2016-09-21,H,H,4,0.8087223683685973,3.2348894734743894,N
ZIKA,2016-09-22,H,L,3,0.7948789576388782,2.3846368729166345,N
ZIKA,2016-09-23,L,H,2,-0.09491785531035024,-0.18983571062070048,N
ZIKA,2016-09-26,H,H,4,0.6358682615766886,2.5434730463067545,N
ZIKA,2016-09-27,H,L,3,0.7335282049019121,2.200584614705736,N
ZIKA,2016-09-28,L,L,1,-0.21629632767764528,-0.21629632767764528,N
ZIKA,2016-09-29,L,L,1,0.2528945196341503,0.2528945196341503,N
ZIKA,2016-09-30,H,H,4,-0.8936972972972912,-3.5747891891891648,N
ZIKA,2016-10-03,L,H,2,-0.5090517238401482,-1.0181034476802964,N
ZIKA,2016-10-04,H,H,4,-1.1694985917622636,-4.677994367049054,N
ZIKA,2016-10-05,L,L,1,-0.46594554203374106,-0.46594554203374106,N
ZIKA,2016-10-06,L,L,1,-0.5572893363458231,-0.5572893363458231,N
ZIKA,2016-10-07,L,L,1,0.0672465057573346,0.0672465057573346,N
ZIKA,2016-10-10,L,H,2,-0.5898992023581018,-1.1797984047162036,N
ZIKA,2016-10-11,L,H,2,-0.2253458940379427,-0.4506917880758854,N
ZIKA,2016-10-12,L,L,1,0.09787321993717235,0.09787321993717235,N
ZIKA,2016-10-13,L,L,1,0.37605292845690474,0.37605292845690474,N
ZIKA,2016-10-14,H,H,4,-1.4011770582329053,-5.604708232931621,N
ZIKA,2016-10-17,H,L,3,0.638344118499723,1.9150323554991688,N
ZIKA,2016-10-18,L,L,1,0.3247058995162977,0.3247058995162977,N
ZIKA,2016-10-19,L,L,1,0.08279391778718281,0.08279391778718281,N
ZIKA,2016-10-20,L,L,1,0.10528690602928936,0.10528690602928936,N
ZIKA,2016-10-21,L,H,2,0.15024941664600888,0.30049883329201776,N
ZIKA,2016-10-24,L,L,1,-0.4350776451140681,-0.4350776451140681,N
ZIKA,2016-10-25,L,L,1,0.2636977401852869,0.2636977401852869,N
