,sentiment,totalScores,positive,negative
2018-04-20 00:00:00,-0.03395277625068719,3638,0.71,0.29
2018-04-21 00:00:00,0.018291204588910134,523,0.79,0.21
2018-04-22 00:00:00,0.025656756756756757,740,0.8,0.2
2018-04-23 00:00:00,-0.024219598315516684,3087,0.71,0.29
2018-04-24 00:00:00,-0.02564596979799961,5099,0.7,0.3
2018-04-25 00:00:00,0.0007821693015809486,4997,0.72,0.28
2018-04-26 00:00:00,9.34961439588689e-05,3890,0.72,0.28
2018-04-27 00:00:00,-0.010679768605378361,3198,0.73,0.27
2018-04-28 00:00:00,-0.039296573875803,467,0.76,0.24
2018-04-29 00:00:00,-0.04181263888888889,720,0.76,0.24
2018-04-30 00:00:00,-0.039667998667998666,3003,0.7,0.3
2018-05-01 00:00:00,0.009519355663513168,3911,0.72,0.28
2018-05-02 00:00:00,-0.026910853950518756,3759,0.71,0.29
2018-05-03 00:00:00,0.006163336766220391,4855,0.72,0.28
2018-05-04 00:00:00,-0.0020404865876481595,4809,0.71,0.29
2018-05-05 00:00:00,0.009297376543209876,648,0.79,0.21
2018-05-06 00:00:00,0.0468635499207607,631,0.79,0.21
2018-05-07 00:00:00,-0.029319243243243243,3700,0.7,0.3
2018-05-08 00:00:00,0.007933626126126126,4440,0.76,0.24
2018-05-09 00:00:00,0.0293476012793177,3752,0.75,0.25
2018-05-10 00:00:00,0.023005462624150548,3826,0.71,0.29
2018-05-11 00:00:00,-0.010246496437054631,3368,0.71,0.29
2018-05-12 00:00:00,0.04746928406466513,433,0.79,0.21
2018-05-13 00:00:00,0.07103282442748092,524,0.8,0.2
2018-05-14 00:00:00,0.013890504807692307,2496,0.71,0.29
2018-05-15 00:00:00,-0.033442550274223035,4376,0.68,0.32
2018-05-16 00:00:00,-0.013274779390834046,3513,0.71,0.29
2018-05-17 00:00:00,-0.00907022645393721,3886,0.71,0.29
2018-05-18 00:00:00,-0.04022066859530697,3111,0.7,0.3
2018-05-19 00:00:00,0.03750675909878683,577,0.8,0.2
2018-05-20 00:00:00,0.03862914714151828,1067,0.76,0.24
2018-05-21 00:00:00,0.01776359430604982,2810,0.73,0.27
2018-05-22 00:00:00,-0.03225193199381762,2588,0.71,0.29
2018-05-23 00:00:00,0.004240884798099763,3368,0.72,0.28
2018-05-24 00:00:00,0.04394702926396689,3383,0.74,0.26
2018-05-25 00:00:00,0.022626687722068693,2533,0.74,0.26
2018-05-26 00:00:00,0.019360169491525425,354,0.78,0.22
2018-05-27 00:00:00,0.028641242937853105,354,0.81,0.19
2018-05-28 00:00:00,-0.05413343065693431,685,0.72,0.28
2018-05-29 00:00:00,0.005088702605107041,3877,0.71,0.29
2018-05-30 00:00:00,-0.02091971544715447,2952,0.7,0.3
2018-05-31 00:00:00,-0.004098691028088355,3667,0.74,0.26
2018-06-01 00:00:00,0.0217939813421607,3323,0.76,0.24
2018-06-02 00:00:00,0.04522719298245614,456,0.81,0.19
2018-06-03 00:00:00,0.028125040387722136,619,0.78,0.22
2018-06-04 00:00:00,0.029936810856658183,2358,0.74,0.26
2018-06-05 00:00:00,-0.0010167606768734891,2482,0.72,0.28
2018-06-06 00:00:00,0.040279168213887856,2693,0.73,0.27
2018-06-07 00:00:00,0.011849500713266762,2804,0.71,0.29
2018-06-08 00:00:00,0.018140740740740742,2511,0.74,0.26
2018-06-09 00:00:00,0.021095366795366798,518,0.83,0.17
2018-06-10 00:00:00,-0.0263008281573499,966,0.75,0.25
2018-06-11 00:00:00,-0.004604096204434423,2661,0.72,0.28
2018-06-12 00:00:00,-0.017001354757403907,3174,0.74,0.26
2018-06-13 00:00:00,-0.012727199762187872,3364,0.73,0.27
2018-06-14 00:00:00,-0.027923181114551082,2584,0.71,0.29
2018-06-15 00:00:00,-0.014285697115384615,3328,0.74,0.26
2018-06-16 00:00:00,0.016067875647668393,386,0.79,0.21
2018-06-17 00:00:00,-0.03513717693836978,503,0.73,0.27
2018-06-18 00:00:00,-0.021362078272604588,2964,0.69,0.31
2018-06-19 00:00:00,-0.006140868032606301,4539,0.72,0.28
2018-06-20 00:00:00,0.02340132596685083,2715,0.74,0.26
2018-06-21 00:00:00,0.023988597972972973,3552,0.73,0.27
2018-06-22 00:00:00,0.037100544111931595,2573,0.75,0.25
2018-06-23 00:00:00,-0.006644520547945205,438,0.76,0.24
2018-06-24 00:00:00,0.01630645933014354,836,0.77,0.23
2018-06-25 00:00:00,-0.007539776580889687,5013,0.71,0.29
2018-06-26 00:00:00,0.02683801242236025,3220,0.73,0.27
2018-06-27 00:00:00,-0.011235624999999999,4640,0.71,0.29
2018-06-28 00:00:00,0.0400098641049672,4268,0.74,0.26
2018-06-29 00:00:00,0.032591315275062836,3581,0.75,0.25
2018-06-30 00:00:00,-0.011910805084745762,472,0.78,0.22
2018-07-01 00:00:00,-0.043570546318289785,842,0.73,0.27
2018-07-02 00:00:00,0.030112273361227335,3585,0.74,0.26
2018-07-03 00:00:00,-0.010550736049298185,2921,0.73,0.27
2018-07-04 00:00:00,-0.01119336437718277,859,0.78,0.22
2018-07-05 00:00:00,-0.02440371352785146,4147,0.71,0.29
2018-07-06 00:00:00,-0.025082540225950016,5842,0.71,0.29
2018-07-07 00:00:00,-0.02320690537084399,782,0.73,0.27
2018-07-08 00:00:00,-0.014807605344295992,973,0.76,0.24
2018-07-09 00:00:00,0.020569898819561554,3558,0.73,0.27
2018-07-10 00:00:00,-0.01880901846452867,5145,0.7,0.3
2018-07-11 00:00:00,-0.008654703513909224,5464,0.71,0.29
2018-07-12 00:00:00,0.0216016181988743,4264,0.74,0.26
2018-07-13 00:00:00,0.02779887288666249,3194,0.75,0.25
2018-07-14 00:00:00,-0.02017334525939177,559,0.76,0.24
2018-07-15 00:00:00,-0.006714471968709257,767,0.79,0.21
2018-07-16 00:00:00,-0.005366827940731782,3307,0.75,0.25
2018-07-17 00:00:00,0.05131963974433469,3442,0.75,0.25
2018-07-18 00:00:00,0.0707896881644224,2822,0.77,0.23
2018-07-19 00:00:00,0.024520367437440606,3157,0.75,0.25
2018-07-20 00:00:00,-0.016778474576271185,3540,0.75,0.25
2018-07-21 00:00:00,0.0005118329466357308,431,0.78,0.22
2018-07-22 00:00:00,0.040054355400696864,574,0.81,0.19
2018-07-23 00:00:00,6.733128834355828e-05,2608,0.73,0.27
2018-07-24 00:00:00,0.01058128785463819,3137,0.72,0.28
2018-07-25 00:00:00,0.03665777998017839,4036,0.75,0.25
2018-07-26 00:00:00,0.016296768402154396,2785,0.75,0.25
2018-07-27 00:00:00,0.0037304685254383445,3479,0.72,0.28
2018-07-28 00:00:00,-0.0038985989492119092,571,0.77,0.23
2018-07-29 00:00:00,-0.002896883852691218,706,0.75,0.25
2018-07-30 00:00:00,-0.008431866257250085,2931,0.7,0.3
2018-07-31 00:00:00,0.008743014174139427,3457,0.74,0.26
2018-08-01 00:00:00,0.007919444444444444,3240,0.74,0.26
2018-08-02 00:00:00,-0.02813713140566848,3493,0.7,0.3
2018-08-03 00:00:00,0.03067442845046571,2362,0.76,0.24
2018-08-04 00:00:00,0.05802351885098743,557,0.81,0.19
2018-08-05 00:00:00,0.04399511201629328,491,0.8,0.2
2018-08-06 00:00:00,0.0645096411586684,2313,0.76,0.24
2018-08-07 00:00:00,0.0381019793814433,2425,0.76,0.24
2018-08-08 00:00:00,-0.0016073141958316947,2543,0.72,0.28
2018-08-09 00:00:00,0.0011431519699812384,2665,0.71,0.29
2018-08-10 00:00:00,-0.027144495810459406,3461,0.69,0.31
2018-08-11 00:00:00,0.0029216560509554143,471,0.75,0.25
2018-08-12 00:00:00,-0.02904244415243101,761,0.72,0.28
2018-08-13 00:00:00,-0.025639677601809956,3536,0.68,0.32
