Disease,Date,V_Close,V_Volume,Index_H/L,Bu/Be,Volatility,Death_H/M/L,Illness_H/M/L,News_H/M/L,Signal
ZIKA,2017-03-10,L,L,1,0.21839783158559278,0.21839783158559278,L,L,L,N
ZIKA,2017-03-13,L,L,1,0.017431136528678337,0.017431136528678337,L,L,L,N
ZIKA,2017-03-14,L,L,1,-0.5403477521413236,-0.5403477521413236,L,L,L,N
ZIKA,2017-03-15,H,H,4,1.866453683847169,7.465814735388676,L,L,L,N
ZIKA,2017-03-16,L,L,1,0.41290580645161334,0.41290580645161334,L,L,L,N
ZIKA,2017-03-17,L,H,2,0.22273193979100991,0.44546387958201983,L,L,L,N
ZIKA,2017-03-20,L,L,1,0.44448586109044896,0.44448586109044896,L,L,L,N
ZIKA,2017-03-21,H,H,4,0.876520281226778,3.506081124907112,L,L,L,N
ZIKA,2017-03-22,L,L,1,0.2446439999608252,0.2446439999608252,L,L,L,N
ZIKA,2017-03-23,L,L,1,-0.13464949701844642,-0.13464949701844642,L,L,L,N
ZIKA,2017-03-24,L,L,1,0.16011039285599438,0.16011039285599438,L,L,L,N
ZIKA,2017-03-27,L,L,1,0.563686685481346,0.563686685481346,L,L,L,N
ZIKA,2017-03-28,L,L,1,-0.4099372576753746,-0.4099372576753746,L,L,L,N
ZIKA,2017-03-29,L,L,1,0.24361642940511352,0.24361642940511352,L,L,L,N
ZIKA,2017-03-30,H,L,3,-0.7206913480149013,-2.162074044044704,L,L,L,N
ZIKA,2017-03-31,L,L,1,0.21102388612286305,0.21102388612286305,L,L,L,N
ZIKA,2017-04-03,L,L,1,0.5306578459344902,0.5306578459344902,L,L,L,N
ZIKA,2017-04-04,L,L,1,0.22622958066575993,0.22622958066575993,L,L,L,N
ZIKA,2017-04-05,L,H,2,0.0,0.0,L,L,L,N
ZIKA,2017-04-06,L,H,2,-0.3678339650267315,-0.735667930053463,L,L,L,N
ZIKA,2017-04-07,L,H,2,0.2349379090451409,0.4698758180902818,L,L,L,N
ZIKA,2017-04-10,L,H,2,0.0,0.0,L,L,L,N
ZIKA,2017-04-11,H,H,4,1.44818601580603,5.79274406322412,L,L,L,N
ZIKA,2017-04-12,H,L,3,0.6848708526302261,2.054612557890678,L,L,L,N
ZIKA,2017-04-13,L,L,1,0.47533274402555836,0.47533274402555836,L,L,L,N
ZIKA,2017-04-17,L,L,1,-0.29363785144597143,-0.29363785144597143,L,L,L,N
ZIKA,2017-04-18,L,L,1,0.4744780836792861,0.4744780836792861,L,L,L,N
ZIKA,2017-04-19,H,L,3,-0.8874751669109227,-2.662425500732768,L,L,L,N
ZIKA,2017-04-20,L,L,1,0.18893945151714497,0.18893945151714497,L,L,L,N
ZIKA,2017-04-21,L,L,1,0.2869785198997832,0.2869785198997832,L,L,L,N
ZIKA,2017-04-24,H,L,3,-0.6785994714839205,-2.0357984144517616,L,L,L,N
ZIKA,2017-04-25,H,L,3,-1.012514792249386,-3.037544376748158,L,L,L,N
ZIKA,2017-04-26,L,L,1,0.4906411642411568,0.4906411642411568,L,L,L,N
